gene	betweenness	eigenvector
KAT5	106.500000	0.012205
PER1	3.000000	0.002946
PDE1A	0.000000	0.000442
HLA-G	15.000000	0.002661
VANGL2	48.000000	0.009850
ZFP36	226.500000	0.007240
PEX1	41.000000	0.003827
PEX6	6.000000	0.002414
RUVBL1	34.000000	0.038480
SHH	0.000000	0.000061
SRF	5.000000	0.004019
ELK4	36.000000	0.004588
VIM	4779.000000	0.040123
RAB7A	265.000000	0.034854
ITGA11	0.000000	0.000591
EIF4EBP1	9052.000000	0.003889
ASIP	0.000000	0.000527
PLA2R1	0.000000	0.000120
SCNN1A	43.000000	0.000617
HIP1	22.000000	0.007717
MYL12B	77.500000	0.011263
RAB11A	2173.000000	0.029958
EDNRB	25.000000	0.001024
NEUROG3	8.000000	0.005975
REG4	0.000000	0.000176
OAS1	192.000000	0.001121
PKLR	0.000000	0.003496
PIM2	0.000000	0.001454
HCK	7670.000000	0.007610
AFF4	213.000000	0.006164
MLLT1	105.000000	0.007263
MYOD1	1.000000	0.005465
GCC2	9.000000	0.008065
STX10	9.000000	0.005724
ACACB	92.500000	0.005086
NR0B1	0.000000	0.000658
SLC7A5	1445.000000	0.015919
MMP2	169.500000	0.001597
CNGB1	0.000000	0.000224
CISH	16.000000	0.001363
RAC2	1091.500000	0.022028
VCAM1	276.500000	0.030185
CGA	0.000000	0.000576
LHCGR	0.000000	0.000101
CHRM3	36.000000	0.002569
CDK5	368.000000	0.012778
LFNG	0.000000	0.001572
EIF2AK3	191.000000	0.006030
MC3R	0.000000	0.000473
HLA-B	2731.000000	0.010633
RAB4A	1077.500000	0.015411
RUFY2	2.000000	0.002419
PPP1R13L	8.000000	0.006970
BCL3	81.000000	0.003688
TBL1X	332.000000	0.005038
NOTUM	0.000000	0.000125
SOST	0.000000	0.001110
KIT	11.000000	0.002147
EDA	1.000000	0.003057
EDAR	16.000000	0.000922
TXNIP	4.000000	0.011974
TXN2	597.000000	0.004265
PLCE1	0.000000	0.000994
USP21	14.000000	0.005441
ELK1	34.000000	0.005557
ITK	42.000000	0.003010
FGFR2	125.000000	0.006915
LRRC4C	23.000000	0.001153
FERMT3	0.000000	0.002797
CD8A	15.000000	0.000589
ELMO2	26.000000	0.006136
DOCK1	108.500000	0.004055
PDGFRB	770.500000	0.007052
CCR1	3811.000000	0.004508
MAPKAPK3	1.000000	0.003422
IL22	0.000000	0.000552
CCL27	0.000000	0.000000
CCR3	1.000000	0.000094
RDX	36.000000	0.018095
HRH2	0.000000	0.000000
BCL2A1	15.000000	0.001008
CCL25	0.000000	0.000152
CCR9	1.000000	0.000587
MDM4	56.000000	0.005934
MDM2	246.000000	0.029358
CFHR4	0.000000	0.000277
CFH	166.000000	0.003338
TYK2	179.000000	0.005736
EIF3E	373.500000	0.023356
TFAP4	10.000000	0.005722
GNA15	42.000000	0.000821
SMAD3	1053.500000	0.016343
IAPP	0.000000	0.000001
BMP4	35.000000	0.006503
TLR9	6.000000	0.003652
EHMT2	255.000000	0.013067
EEF1A1	320.000000	0.041586
