gene	log2FC	pvalue	FDR
LPPR3	0.16498213623725655	0.3434478988189099	0.4090063296475907
LPPR2	0.6923735480383044	3.318575954134539e-14	4.3716707235798994e-13
HBII-52-27	0.0	1.0	1.0
PMS2L4	0.0005513129440837261	0.99581094243677	1.0
SPRY2	-0.8956281974049993	4.293882018755139e-21	3.111060651988723e-19
RSAD2	-0.17018707908558195	0.1434916039767814	0.19090056947235406
RSAD1	0.4849119091751586	4.098729058247966e-28	1.3920308564074657e-25
ATP5C1	0.11912530892800532	0.015743044862204666	0.02561308556323957
NFS1	0.29553729533517803	3.8553941245896875e-10	2.2099379401920215e-09
CHD3	-0.05750065647203506	0.3560013484109201	0.4223823858657074
CHD2	-0.07951173926475974	0.1714790405465843	0.22321645857710842
CHD5	-1.5115510580784681	1.296057554558464e-11	9.667504120069586e-11
CHD4	-0.13843459993823082	0.02439290892111113	0.03813321837667372
CHD7	0.0823591519925877	0.3567221446036123	0.42314519401354056
CHD6	0.1222890330552957	0.060063145903990305	0.08704710890579632
CHD9	-0.7929757877664532	5.1060661007276544e-15	8.054096717374187e-14
CHD8	-0.009371416434973412	0.8353278547792532	0.874515280391188
SGCA	-1.3292437442076004	2.5783152332871437e-09	1.258810869513238e-08
LOC121838	-0.6215426629595304	1.918916455268615e-05	5.0422591962909354e-05
CAP1	-0.3313429332715607	9.023315314528198e-16	1.7174324139806037e-14
CAP2	-1.1237679101019413	8.937675758693279e-11	5.727279489709821e-10
LOC283050	0.37641348470806246	2.1869291143957196e-05	5.6873763137718785e-05
NPC2	-0.2500998687055951	0.024922776612382198	0.03888325240071342
NPC1	-0.15305075687364322	0.0024727427217389963	0.004600884762858999
SKIV2L	0.3451913345690443	2.4885101111548043e-12	2.1584299990447258e-11
SNORD11	0.0	1.0	1.0
TNFSF12-TNFSF13	1.0503500231695977	0.0053251659594111215	0.009396639656905353
C3orf59	-0.7218921455050982	4.5019327401520836e-12	3.709401441999457e-11
C3orf58	-0.4365134538152624	2.8400637165164715e-08	1.1771858303242187e-07
PRKCB	-1.9797227525486587	1.4763803983806056e-17	4.324879290997418e-16
RAB3GAP2	-0.23637287611986402	3.0124661800690158e-05	7.656567456732943e-05
IL4R	-0.4323903459993961	9.587321629516939e-10	5.085164054152762e-09
BHLHA15	0.7793423308619127	2.4793604102865013e-05	6.39432580422252e-05
PIKFYVE	-0.040184453197413816	0.5948909097865434	0.6555127424015134
C3orf51	-0.04591095149830088	0.2093672046063882	0.26622239144287196
C3orf50	-0.06637797343219028	0.22182257114426282	0.28012638893746783
C3orf52	-0.1195571748532629	0.3846790600443558	0.4519667053580604
