gene	betweenness_norm	eigenvector_norm	betweenness_tumor	eigenvector_tumor	diff_betweenness	diff_eigenvector	rank_bet	rank_eig	ensemble_score	final_rank	delta_betweenness	delta_eigenvector
NUP98	357.333333	0.015616	4605.5	0.013455	4248.166667	0.0021609999999999997	0.9931919642857143	0.9668526785714285	0.9602703110052615	86	4248.166667	-0.0021609999999999997
MEPCE	2452.5	0.050974	763.666667	0.04761	1688.833333	0.003363999999999999	0.9734375	0.9860491071428571	0.959857177734375	87	-1688.833333	-0.003363999999999999
H2AFY	1468.0	0.026317	215.0	0.03175	1253.0	0.005433	0.9637276785714286	0.9959821428571428	0.9598555584343113	88	-1253.0	0.005433
RAB11A	2173.0	0.029958	195.5	0.032837	1977.5	0.0028789999999999996	0.9786830357142857	0.9804129464285715	0.9595135186643017	89	-1977.5	0.0028789999999999996
AGR2	1597.0	0.04581	476.0	0.05284	1121.0	0.0070300000000000015	0.9604910714285714	0.9987723214285714	0.95931189712213	90	-1121.0	0.0070300000000000015
PSMD14	2154.5	0.026072	582.0	0.029512	1572.5	0.0034399999999999986	0.971875	0.9870535714285714	0.9592926897321429	91	-1572.5	0.0034399999999999986
KIAA1429	54703.833333	0.078918	25262.5	0.080816	29441.333333000002	0.001897999999999997	0.9996651785714286	0.9594866071428572	0.9591653504663584	92	-29441.333333000002	0.001897999999999997
SND1	2041.5	0.027286	124.0	0.030176	1917.5	0.00289	0.9774553571428571	0.9809151785714286	0.9588007961973852	93	-1917.5	0.00289
BIRC6	1043.0	0.011543	4980.166667	0.009412	3937.1666670000004	0.002130999999999999	0.9919642857142857	0.9662946428571428	0.9585297751913265	94	3937.1666670000004	-0.002130999999999999
UBC	1648.5	0.067029	2877.0	0.062145	1228.5	0.004884000000000006	0.9630580357142857	0.9946428571428572	0.9578987962372449	95	1228.5	-0.004884000000000006
NIPBL	4139.0	0.014374	8032.0	0.012255	3893.0	0.0021189999999999994	0.9916294642857143	0.9659040178571429	0.9578188837790976	96	3893.0	-0.0021189999999999994
COPS5	2458.833333	0.047349	745.0	0.050361	1713.833333	0.003012000000000001	0.9741071428571428	0.9829241071428572	0.9574733936543367	97	-1713.833333	0.003012000000000001
POLR2B	4878.5	0.021773	1073.0	0.019665	3805.5	0.0021080000000000022	0.9912946428571429	0.9655133928571429	0.9571082539461098	98	-3805.5	-0.0021080000000000022
HIST1H1C	2166.0	0.034468	774.0	0.037984	1392.0	0.0035159999999999983	0.9686383928571428	0.9877232142857143	0.9567466268734056	99	-1392.0	0.0035159999999999983
SHMT2	5966.0	0.026003	1886.0	0.028054	4080.0	0.0020510000000000007	0.9925223214285714	0.9639508928571429	0.9567427779217156	100	-4080.0	0.0020510000000000007
PSMC3	756.0	0.025148	2316.0	0.022057	1560.0	0.003091	0.9715401785714286	0.9837053571428571	0.9557092783402423	101	1560.0	-0.003091
BCAS2	1363.666667	0.017744	51.0	0.021426	1312.666667	0.0036820000000000012	0.9660714285714286	0.9888392857142857	0.955289381377551	102	-1312.666667	0.0036820000000000012
NOSIP	113.0	0.011158	2044.0	0.008511	1931.0	0.002647	0.9780133928571428	0.9766741071428572	0.9552003572425064	103	1931.0	-0.002647
TMPO	197.0	0.047714	1373.0	0.04327	1176.0	0.0044439999999999966	0.9616071428571429	0.9927455357142857	0.9546311981823979	104	1176.0	-0.0044439999999999966
GRB2	1304.0	0.030539	258.0	0.036144	1046.0	0.005605000000000002	0.9580357142857143	0.9963169642857143	0.9545072345344388	105	-1046.0	0.005605000000000002
RPS15	250.5	0.024949	2235.833333	0.022417	1985.333333	0.0025319999999999995	0.9787946428571429	0.9751116071428572	0.9544340172592475	106	1985.333333	-0.0025319999999999995
EMD	1747.5	0.036261	4862.833333	0.034143	3115.3333329999996	0.002118000000000002	0.9881696428571428	0.9657366071428571	0.954311598174426	107	3115.3333329999996	-0.002118000000000002
VIM	4779.0	0.040123	6767.0	0.042632	1988.0	0.0025090000000000043	0.97890625	0.9746651785714285	0.9541058349609375	108	1988.0	0.0025090000000000043
RPL11	11198.5	0.037168	8735.0	0.03487	2463.5	0.0022980000000000014	0.9834821428571429	0.9698660714285714	0.9538459622130102	109	-2463.5	-0.0022980000000000014
KIF14	4394.0	0.077338	5848.5	0.074396	1454.5	0.002942	0.9697544642857143	0.9819196428571428	0.9522209572305484	110	1454.5	-0.002942
RPL18A	368.0	0.027303	4469.0	0.025417	4101.0	0.0018860000000000023	0.9926339285714286	0.9588169642857143	0.9517542500398597	111	4101.0	-0.0018860000000000023
