gene	betweenness_norm	eigenvector_norm	betweenness_tumor	eigenvector_tumor	diff_betweenness	diff_eigenvector	rank_bet	rank_eig	ensemble_score	final_rank	delta_betweenness	delta_eigenvector
HIST1H2BG	1881.5	0.021172	39.5	0.024453	1842.0	0.003280999999999999	0.9762276785714286	0.9854910714285714	0.9620636609135842	83	-1842.0	0.003280999999999999
HSP90AB1	2185.5	0.051716	1061.0	0.061439	1124.5	0.009723000000000002	0.9622767857142858	0.9995535714285714	0.9618471978635204	84	-1124.5	0.009723000000000002
PIH1D1	1861.0	0.033275	8723.833333	0.031211	6862.8333330000005	0.002064	0.9972098214285714	0.9643415178571428	0.9616508328184789	85	6862.8333330000005	-0.002064
CDC34	211.0	0.016992	5956.0	0.014877	5745.0	0.0021150000000000006	0.9956473214285714	0.965625	0.9614219447544642	86	5745.0	-0.0021150000000000006
PSMD14	2236.0	0.026072	587.0	0.029512	1649.0	0.0034399999999999986	0.9736607142857143	0.9870535714285714	0.9610552853954082	87	-1649.0	0.0034399999999999986
RNF4	10285.0	0.047723	4444.833333	0.045624	5840.166667	0.0020990000000000036	0.9957589285714286	0.9649553571428572	0.9608629125478316	88	-5840.166667	-0.0020990000000000036
NUP98	364.333333	0.015616	4619.5	0.013455	4255.166667	0.0021609999999999997	0.9933035714285714	0.9668526785714285	0.9603782186702805	89	4255.166667	-0.0021609999999999997
HIST1H1C	2304.0	0.034468	792.5	0.037984	1511.5	0.0035159999999999983	0.9716517857142857	0.9877232142857143	0.9597230249521683	90	-1511.5	0.0035159999999999983
BIRC6	1050.0	0.011543	5223.666667	0.009412	4173.666667	0.002130999999999999	0.9928571428571429	0.9662946428571428	0.9593925382653061	91	4173.666667	-0.002130999999999999
RAB11A	2324.5	0.029958	347.0	0.032837	1977.5	0.0028789999999999996	0.9784598214285715	0.9804129464285715	0.9592946764887597	92	-1977.5	0.0028789999999999996
KIAA1429	55184.333333	0.078918	25425.5	0.080816	29758.833333000002	0.001897999999999997	0.9996651785714286	0.9594866071428572	0.9591653504663584	93	-29758.833333000002	0.001897999999999997
MARCKS	1198.0	0.0274	71.5	0.032846	1126.5	0.0054459999999999995	0.9623883928571428	0.99609375	0.9586290631975446	94	-1126.5	0.0054459999999999995
CUL3	22642.0	0.102783	23854.833333	0.098227	1212.8333329999987	0.0045560000000000045	0.96484375	0.9930803571428571	0.9581673758370536	95	1212.8333329999987	-0.0045560000000000045
NIPBL	4142.0	0.014374	8078.0	0.012255	3936.0	0.0021189999999999994	0.99140625	0.9659040178571429	0.9576032802036831	96	3936.0	-0.0021189999999999994
MEPCE	2238.0	0.050974	785.666667	0.04761	1452.333333	0.003363999999999999	0.9709821428571429	0.9860491071428571	0.9574360750159439	97	-1452.333333	-0.003363999999999999
BCAS2	1356.166667	0.017744	52.0	0.021426	1304.166667	0.0036820000000000012	0.9677455357142857	0.9888392857142857	0.956944804288903	98	-1304.166667	0.0036820000000000012
