GeneName,Betweenness_Normal,eigenvector_norm,Betweenness_Tumor,eigenvector_tumor,logFC_betweenness,logFC_eigenvector,dice_score,DiCERank,EnsembleScore,DeltaBetweenness,DeltaEigenvector,Regulation
PRR20C,1e-06,0.001505,1e-06,0.001505,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
SMPDL3B,1e-06,0.001413,1e-06,0.001413,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
FAM124B,1e-06,0.001367,1e-06,0.001367,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
RBM10,5e-06,0.019712,5e-06,0.019712,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
ERF,2e-06,0.002813,2e-06,0.002813,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
ARHGEF1,1e-06,0.009081,1e-06,0.009081,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
RTN1,1e-06,0.004501,1e-06,0.004501,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
PPID,1e-06,0.007059,1e-06,0.007059,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
RAB39B,1e-06,0.001746,1e-06,0.001746,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
TTC28,1e-06,0.007337,1e-06,0.007337,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
CD79A,1.8e-05,0.00281,1.8e-05,0.00281,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
SIPA1L3,1e-06,0.008599,1e-06,0.008599,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
MTX1,6e-06,0.005592,6e-06,0.005592,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
SERPINF2,1e-06,0.000864,1e-06,0.000864,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
RADIL,1e-06,0.002224,1e-06,0.002224,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
PLSCR1,2e-06,0.00363,2e-06,0.00363,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
NUP54,4e-06,0.006242,4e-06,0.006242,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
QARS,1.2e-05,0.026817,1.2e-05,0.026817,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
HCK,6e-06,0.007578,6e-06,0.007578,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
PRMT8,2e-06,0.004408,2e-06,0.004408,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
SAT1,1e-06,0.001827,1e-06,0.001827,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
TGM3,2e-06,0.006778,2e-06,0.006778,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
KRT19,5e-06,0.013265,5e-06,0.013265,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
PACSIN2,2e-06,0.008866,2e-06,0.008866,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
CTU2,4e-06,0.003119,4e-06,0.003119,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
CETN1,2e-06,0.001453,2e-06,0.001453,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
NACC1,2e-06,0.007153,2e-06,0.007153,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
PAK1,1e-06,0.008918,1e-06,0.008918,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
